country,survey_start_year,year,lat,lon,GID_1,GID_2,households,rural,iwi
angola,2015,2015,-13.570677999999992,15.342756000000003,AGO.10,AGO.10.1,25,1,8.84800864
angola,2015,2015,-14.199159000000003,14.335411000000004,AGO.10,AGO.10.2,25,1,5.75625548
angola,2015,2015,-15.09581600000001,13.585636000000004,AGO.10,AGO.10.10,26,1,8.79972776923077
angola,2015,2015,-14.083154999999996,16.112514999999988,AGO.10,AGO.10.9,26,1,5.595357730769232
angola,2015,2015,-14.053254999999998,15.236557000000005,AGO.10,AGO.10.1,26,1,6.682732884615386
angola,2015,2015,-9.019285999999996,13.114102,AGO.11,AGO.11.7,22,1,61.67132422727274
angola,2015,2015,-8.910407999999997,13.264357,AGO.11,AGO.11.9,26,0,80.53915476923075
angola,2015,2015,-8.886009,13.294562000000006,AGO.11,AGO.11.4,15,0,54.43019413333334
angola,2015,2015,-8.878203000000001,13.228433999999996,AGO.11,AGO.11.4,15,0,68.0497638
angola,2015,2015,-8.763538000000002,13.302934999999996,AGO.11,AGO.11.8,22,0,68.70307013636364
angola,2015,2015,-8.977462000000001,13.157576000000004,AGO.11,AGO.11.7,22,0,42.463536
angola,2015,2015,-8.918549000000004,13.234823000000004,AGO.11,AGO.11.4,24,0,69.07366275000001
angola,2015,2015,-8.846010000000005,13.232314999999998,AGO.11,AGO.11.5,22,0,80.23783240909091
angola,2015,2015,-8.884637999999999,13.256952000000002,AGO.11,AGO.11.4,11,0,72.83781872727273
angola,2015,2015,-8.884093000000005,13.197657999999995,AGO.11,AGO.11.5,24,0,67.26796104166665
angola,2015,2015,-9.187706999999996,14.019221,AGO.1,AGO.1.3,25,1,11.18447268
angola,2015,2015,-8.943727999999995,13.167671000000004,AGO.11,AGO.11.7,23,0,49.329876608695656
angola,2015,2015,-8.883894,13.220594000000002,AGO.11,AGO.11.4,20,0,64.0711105
angola,2015,2015,-8.898777999999995,13.258554000000002,AGO.11,AGO.11.9,26,0,81.83840473076924
angola,2015,2015,-8.843191,13.212217000000004,AGO.11,AGO.11.7,18,0,77.36899244444446
angola,2015,2015,-8.885104999999998,13.228624999999996,AGO.11,AGO.11.4,7,0,64.23466285714287
angola,2015,2015,-8.802195,13.266555000000002,AGO.11,AGO.11.3,14,0,71.33376857142858
angola,2015,2015,-8.769533999999995,13.294507000000005,AGO.11,AGO.11.8,24,0,70.13961633333332
angola,2015,2015,-8.810092,13.267939000000007,AGO.11,AGO.11.8,21,0,63.72239995238096
angola,2015,2015,-8.924553000000001,13.172158000000003,AGO.11,AGO.11.7,26,0,72.70927861538463
angola,2015,2015,-8.879486000000002,13.295111999999996,AGO.11,AGO.11.4,15,0,75.22859313333335
angola,2015,2015,-8.894489999999998,13.189040999999998,AGO.11,AGO.11.7,22,0,78.65154654545455
angola,2015,2015,-8.865322000000003,13.238863,AGO.11,AGO.11.4,14,0,64.48780071428571
angola,2015,2015,-8.879802000000003,13.192113000000004,AGO.11,AGO.11.5,22,0,75.93582022727274
angola,2015,2015,-8.882319,13.241424,AGO.11,AGO.11.4,9,0,83.95820577777778
angola,2015,2015,-8.957609999999999,13.179210000000008,AGO.11,AGO.11.7,20,0,73.99761744999999
angola,2015,2015,-8.80633,13.274043000000004,AGO.11,AGO.11.8,26,0,71.72830111538461
angola,2015,2015,-8.774024999999996,13.249513,AGO.11,AGO.11.3,26,0,68.91878657692308
angola,2015,2015,-7.399771,20.822809000000003,AGO.12,AGO.12.4,15,0,45.82346773333335
angola,2015,2015,-8.908463000000005,20.259352,AGO.12,AGO.12.8,26,1,3.5680534615384616
angola,2015,2015,-7.688141000000001,21.360869999999995,AGO.12,AGO.12.1,16,0,31.37915775
angola,2015,2015,-7.374191999999996,20.809691,AGO.12,AGO.12.4,21,0,78.44819438095239
angola,2015,2015,-8.103137000000002,20.849831,AGO.12,AGO.12.8,12,1,36.37085025
angola,2015,2015,-8.461192000000002,20.71533,AGO.12,AGO.12.8,24,0,24.687264875
angola,2015,2015,-7.363907,20.85245199999999,AGO.12,AGO.12.4,19,0,57.1467692631579
angola,2015,2015,-7.689136999999998,21.338892999999988,AGO.12,AGO.12.1,24,0,22.39478916666667
angola,2015,2015,-7.457489,19.988837,AGO.12,AGO.12.4,20,1,5.43603235
angola,2015,2015,-7.382546,20.82987500000001,AGO.12,AGO.12.4,22,0,51.421949
angola,2015,2015,-7.507942000000001,20.879314000000008,AGO.12,AGO.12.4,22,1,4.2626894090909095
angola,2015,2015,-8.412035000000001,20.749444999999994,AGO.12,AGO.12.8,22,0,41.10278977272728
angola,2015,2015,-7.690496999999996,21.374453000000003,AGO.12,AGO.12.1,24,0,40.939118875
angola,2015,2015,-7.393741000000003,20.825853,AGO.12,AGO.12.4,20,0,54.1074042
angola,2015,2015,-7.381815999999996,21.226968,AGO.12,AGO.12.1,23,1,12.709462913043485
